x_1,x_2,y
1.894824574048049,9.83252497386461,1
6.684643164084078,2.2129849886842896,0
1.736741262733192,9.659580347281528,1
2.4730891162071216,8.324724544157803,1
8.082036375080053,3.278941268607753,0
7.058656882571181,3.2024252817571615,0
2.356186476104603,9.135635413141882,1
7.420273965230782,2.9547552882182995,0
2.1833405241699086,9.841199002313875,1
2.4487914592078615,9.106521705587069,1
6.72469364896338,4.269168288633953,0
5.493115486401857,2.1953522742569618,0
2.9792622330354948,8.781826808781283,1
6.462894679779772,6.059775199460107,0
6.2269930617275255,4.9199043322595255,0
6.791621877358944,4.23273865354928,0
7.014160891145091,3.4254126415949493,0
8.094215018493298,2.903544953243927,0
1.9442989087721474,9.890736504294354,1
2.979877362694611,10.984954047519604,1
4.721006608818388,4.127094526364399,0
5.515221275836848,4.803168396161139,0
6.1523902600658245,4.23933112568413,0
2.8558526331435132,10.842062204849551,1
2.9363999272531736,9.189964962365837,1
2.148597230259827,9.524827560291044,1
2.5899076123082625,8.937669371660519,1
0.7583643125342521,8.824306949139702,1
6.64891714190251,3.0743119418166,0
2.8282623750639777,10.307877614266763,1
1.5200936265891445,9.548149557914432,1
5.3699378999425225,3.832736063581345,0
6.35796154056755,4.22007147313473,0
6.6067255191150895,2.70737467875568,0
6.4049038410930565,5.156375469052843,0
3.3353532885132724,9.510753997655288,1
1.9702430128276516,10.791112951630748,1
5.024605594404105,2.828297311472216,0
2.9268453005642208,8.351153431447306,1
2.536564446182336,7.805631177000348,1
2.1885865144797796,8.06964202329728,1
7.0643411380808745,4.10392388674612,0
2.4545367136156844,10.149665620577382,1
1.3169598085776557,8.97727879730683,1
2.6667764109148893,8.74715602944894,1
6.1563217438845355,3.691345633953821,0
3.1189015922840104,10.545031438362592,1
7.511082676889537,2.842698610143871,0
7.061775346298918,3.246304325222925,0
6.339138363702508,2.091755282020122,0
6.1586879625798,1.7253733507332774,0
1.4503604493914615,10.878202481569842,1
1.437620335634467,9.057854689112192,1
6.689776025150879,2.705502922432789,0
3.440816543161087,9.674524278834188,1
2.771718778984969,10.7051321213711,1
2.293627497256023,9.422442955875605,1
1.8653161240846057,8.25201001479572,1
6.710366465073713,3.0682361035965275,0
