x,y
0.0,2137.8833281471266
0.1,913.0250017168989
0.2,-1055.2820764069913
0.30000000000000004,5462.955628761614
0.4,-2704.467669050108
0.5,-4469.040549150654
0.6000000000000001,3617.8680980619047
0.7000000000000001,2014.6981533878313
0.8,166.6667017606268
0.9,-52.74919426891074
1.0,1004.899658263304
1.1,3860.7925963203693
1.2000000000000002,-687.8216213042112
1.3,-1591.473202053001
1.4000000000000001,-337.71012750783984
1.5,-517.6239998396441
1.6,737.3717355623116
1.7000000000000002,659.5398945876875
1.8,-951.975129025276
1.9000000000000001,361.79320053677384
2.0,-476.60780482863527
2.1,-382.06586490800544
2.2,3801.81606610444
2.3000000000000003,4653.565180015818
2.4000000000000004,-134.92022375066142
2.5,1333.726292577383
2.6,7009.149783379593
2.7,-5774.231261814194
2.8000000000000003,638.7894706764125
2.9000000000000004,1509.8534250808148
3.0,3022.8910521896873
3.1,1139.9498712819814
3.2,1290.17901640599
3.3000000000000003,-3981.595703800085
3.4000000000000004,178.03054734849235
3.5,1711.4154723693866
3.6,5982.845225209191
3.7,-298.4816695064714
3.8000000000000003,1090.0168028287355
3.9000000000000004,2242.988200598041
4.0,4904.762242220135
4.1000000000000005,3597.274091977575
4.2,-137.17875452256055
4.3,-311.1439655559037
4.4,-740.1971707608309
4.5,5016.133279173526
4.6000000000000005,3622.416815988776
4.7,2285.7458459195045
4.800000000000001,-302.63244054556554
4.9,-1924.3698308517485
5.0,1823.7255547060688
5.1000000000000005,2176.092912760556
5.2,-4832.919701473212
5.300000000000001,-1441.4598550221046
5.4,1366.4849817414974
5.5,-2259.3271176430194
5.6000000000000005,3224.2329004846815
5.7,-2765.034455855439
5.800000000000001,-2173.0418370893167
5.9,-1071.8015372218244
6.0,-323.43786848147283
6.1000000000000005,-956.8601732649731
6.2,-1687.9042807272606
6.300000000000001,1771.6612072693101
6.4,948.5457632785212
6.5,-372.45263200920374
6.6000000000000005,369.92598274102966
6.7,2285.7713120303374
6.800000000000001,1041.7396887475109
6.9,1393.543897654065
7.0,2170.602517773947
7.1000000000000005,-2682.691817962682
7.2,-1359.0829039028029
7.300000000000001,662.3504734853007
7.4,2681.6904911131833
7.5,282.93126100564103
7.6000000000000005,705.7739078804742
7.7,-444.21519268223096
7.800000000000001,-1153.353168513299
7.9,3458.8840973396877
8.0,6910.283569901027
8.1,1226.9367555429294
8.200000000000001,2134.8557390929273
8.3,-2407.2192831964567
8.4,-435.02516582491717
8.5,2019.1910609553981
8.6,-559.5050481418132
8.700000000000001,2114.469769935181
8.8,-2433.4160015720463
8.9,-2516.923969282124
9.0,3551.7569014210876
9.1,2954.3096928506393
9.200000000000001,1405.7334829029899
9.3,-1819.8032214346238
9.4,-1059.3638884950074
9.5,679.0402041128827
9.600000000000001,-1914.4746716235331
9.700000000000001,1279.5027951941802
9.8,1889.6654796851985
9.9,-375.7664725580928
10.0,1006.2690385101369
